,index,RED,WHITE,TOTAL,PERCENT,YEAR
152,9,26844.19999999999,33351.7,60195.89999999999,1.4981969638986594,2012
153,1,33008.1,24374.900000000005,57383.0,1.7144907799846985,2011
154,10,15445.5,1885.4,17330.9,0.5178130850397646,2011
155,11,370246.7,203511.59999999998,573758.3,17.14276554536526,2011
156,12,152012.3,138953.10000000003,290965.4,8.693471857423972,2011
157,13,655783.3,494200.3000000001,1149983.6,34.359240181475556,2011
158,14,189195.9,173665.4,362861.3,10.841579444491602,2011
159,15,873.4999999999999,126.4,999.8999999999999,0.029875038441815514,2011
160,16,2514.2999999999993,876.9999999999999,3391.2999999999993,0.10132535040276922,2011
161,17,30955.899999999994,77849.50000000001,108805.40000000001,3.2508905967367885,2011
162,2,21120.800000000003,12882.800000000001,34003.600000000006,1.015960453205439,2011
163,3,101818.49999999999,64800.30000000002,166618.8,4.9782408792170925,2011
164,4,89835.19999999998,32036.900000000005,121872.09999999999,3.641297802265011,2011
165,5,6856.9,8437.400000000001,15294.300000000001,0.4569634967903381,2011
166,6,14187.699999999997,7760.599999999999,21948.299999999996,0.6557718834208415,2011
167,7,98423.7,110772.70000000001,209196.40000000002,6.25037552944236,2011
168,8,112089.39999999997,46081.8,158171.19999999995,4.725843264714561,2011
169,9,25668.2,28689.3,54357.5,1.6240948115821452,2011
